,weight,ekor,selling_price
1,46.0,0,1610000.0
2,10.0,0,350000.0
5,5322.28,73,5322.28
6,7843.0,188,492540400.0
7,1244.5,18,76536750.0
8,5.0,0,135000.0
9,2.0,0,92250.0
14,70.0,0,2800000.0
15,308.5,2,12957000.0
16,250.0,1,12500000.0
17,230.0,0,8970000.0
20,70.0,0,3150000.0
21,77.0,0,3850000.0
22,95.0,0,4940000.0
23,180.0,1,9720000.0
24,6382.0,122,695638000.0
25,94.0,0,4324000.0
26,407.5,4,22820000.0
27,481.2,4,21193972.8
28,65.54,0,983100.0
29,111.66,1,6661412.28
30,180.09,1,8335645.74
31,346.57,3,6931400.0
32,825.3,8,42318082.8
33,216.15,4,13372984.35
34,125.86,2,2768920.0
35,551.4,7,33981679.2
36,0.5,0,15000.0
37,602.81,10,42531862.36
38,2.66,0,66500.0
39,637.13,12,49059010.0
40,4.8,0,120040.0
41,3131.6,83,0.0
42,58.29,1,0.0
43,3699.91,37,197575194.0
44,43.66,0,1398866.4
45,57.0,0,57.0
46,1937.14,23,93467005.0
47,16.5,0,330000.0
49,313.0,3,16620300.0
50,418.8,6,24960480.0
51,201.9,4,13163880.0
52,361.85,8,23882100.0
53,463.7,11,31160640.0
54,2689.36,61,167842957.6
55,14.5,0,754000.0
56,92.0,0,3220000.0
58,315.93,5,16744290.0
67,30.0,0,950000.0
68,547.54,5,27650770.0
69,275.0,0,9625000.0
70,240.7,1,7221000.0
71,113.5,0,4903200.0
72,19.0,0,456000.0
73,415.9,3,19214580.0
74,37.2,0,930000.0
75,361.35,2,14454000.0
76,689.4,7,40054140.0
77,2.96,0,103185.6
78,0.39,0,14605.5
79,0.11,0,2200.0
80,621.77,8,38301032.0
81,1.91,0,82359.2
82,562.38,10,38354316.0
83,1.63,0,66699.6
84,0.78,0,37237.2
85,474.57,10,32602959.0
86,8.79,0,362323.8
87,3218.78,82,225314600.0
88,126.3,1,7072800.0
89,215.33,5,9043860.0
90,100.0,2,12000000.0
91,304.23,3,16306728.0
92,8.44,0,278520.0
93,973.75,12,52874625.0
94,16.75,0,545715.0
95,304.23,3,16306728.0
96,8.44,0,278520.0
97,3797.59,97,282920455.0
98,10.0,0,745000.0
99,3.0,0,223500.0
100,103.86,1,6205635.0
101,6.0,0,358500.0
102,53.63,1,2397261.0
103,2.6,0,2.6
104,758.1,7,39269580.0
105,573.2,7,33027784.0
106,991.04,14,59065984.0
107,374.9,6,23123832.0
108,307.0,6,20338750.0
109,264.0,6,18084000.0
110,488.26,11,33445810.0
111,1030.74,24,71121060.0
112,50.0,1,3400000.0
113,1250.0,8,56250000.0
114,100.0,0,4200000.0
115,140.0,1,7000000.0
116,860.0,8,43860000.0
117,3629.0,113,1411681.0
118,90.0,0,90.0
119,329.25,3,46.1
120,297.75,4,53.7
121,1142.35,20,56.0
122,36.0,0,39.2
123,47.1,0,25.0
128,2769.34,23,138467000.0
129,61.71,0,1388475.0
133,231.35,2,11567500.0
134,190.35,2,10183725.0
135,53.45,0,2923715.0
